29170d29169
> "20196004363","20196004363239901","2399","1","theft-bicycle","larceny","5/15/2019 6:00:00 PM","5/16/2019 5:30:00 PM","5/17/2019 10:55:00 AM","1282 N DETROIT ST","3153652","1693625","-104.95365130","39.73653610","2","213","congress-park","1","0"
> "2019310969","2019310969544100","5441","0","traffic-accident","traffic-accident","5/18/2019 1:39:00 PM","","5/18/2019 1:39:00 PM","E 18TH AVE / N DOWNING ST","3148083","1696615","-104.97339130","39.74483440","6","621","five-points","0","1"
> "2019309715","2019309715521201","5212","1","weapon-by-prev-offender-powpo","all-other-crimes","5/17/2019 8:07:00 PM","","5/17/2019 8:07:00 PM","4100 N KITTREDGE ST","3196482","1707421","-104.80098630","39.77360220","5","522","gateway-green-valley-ranch","1","0"
> "2019313846","2019313846739902","7399","2","public-order-crimes-other","all-other-crimes","5/19/2019 11:40:00 PM","","5/20/2019 12:28:00 AM","1400 BLOCK N WILLIAMS ST","3150274","1694423","-104.96564570","39.73878190","6","622","cheesman-park","1","0"
> "2019312236","2019312236131300","1313","0","assault-simple","other-crimes-against-persons","5/19/2019 2:08:00 AM","","5/19/2019 4:52:00 AM","5195 MORRISON RD","3125847","1679252","-105.05276890","39.69749670","4","412","westwood","1","0"
> "2019121179","2019121179131300","1313","0","assault-simple","other-crimes-against-persons","2/22/2019 7:00:00 PM","2/22/2019 7:30:00 PM","2/23/2019 8:10:00 PM","9700 E ILIFF AVE","3176427","1670675","-104.87323450","39.673130","3","323","hampden","1","0"
> "2019308807","2019308807544100","5441","0","traffic-accident","traffic-accident","5/17/2019 1:15:00 PM","","5/17/2019 1:45:00 PM","4800 BLKK N FEDERAL BLVD","3133468","1710782","-105.02510040","39.78394620","1","111","sunnyside","0","1"
> "2019309392","2019309392351200","3512","0","drug-heroin-possess","drug-alcohol","5/17/2019 5:25:00 PM","","5/17/2019 7:14:00 PM","1499 N BROADWAY ST","3144130","1694794","-104.987485","39.73989750","6","611","civic-center","1","0"
> "2019311126","2019311126549902","5499","2","vehicular-eluding-no-chase","all-other-crimes","5/18/2019 3:06:00 PM","","5/18/2019 3:16:00 PM","300 BLK S YATES ST","3126452","1683709","-105.05054050","39.70972390","4","412","westwood","1","0"
> "2019311368","2019311368230300","2303","0","theft-shoplift","larceny","5/18/2019 3:30:00 PM","5/18/2019 3:35:00 PM","5/18/2019 7:54:00 PM","2780 S COLORADO BLVD","3158309","1667965","-104.93765740","39.666016","3","314","university-hills","1","0"
> "2019306082","2019306082570700","5707","0","criminal-trespassing","all-other-crimes","5/16/2019 10:30:00 AM","5/16/2019 11:28:00 AM","5/16/2019 11:28:00 AM","1550 N BROADWAY ST","3144340","1695281","-104.98672850","39.74123120","6","621","north-capitol-hill","1","0"
> "2019313995","2019313995544100","5441","0","traffic-accident","traffic-accident","5/20/2019 1:35:00 AM","","5/20/2019 1:35:00 AM","I70 HWYWB / N YORK ST","3151964","1709495","-104.95931750","39.78012940","2","212","elyria-swansea","0","1"
> "2019308422","2019308422131600","1316","0","threats-to-injure","public-disorder","5/17/2019 10:24:00 AM","","5/17/2019 10:26:00 AM","750 16TH ST","3142538","1696792","-104.99310630","39.74540690","6","611","cbd","1","0"
> "2019308315","2019308315131302","1313","2","assault-dv","other-crimes-against-persons","5/16/2019 11:00:00 PM","5/17/2019 9:36:00 AM","5/17/2019 10:35:00 AM","3755 S FOREST WAY","3160408","1662051","-104.93033330","39.64974460","3","324","southmoor-park","1","0"
> "2019311197","2019311197544100","5441","0","traffic-accident","traffic-accident","5/18/2019 3:41:00 PM","","5/18/2019 3:41:00 PM","2400 BLOCK CALIFORNIA ST","3145615","1699432","-104.98211060","39.75260650","6","621","five-points","0","1"
> "2019176978","2019176978131300","1313","0","assault-simple","other-crimes-against-persons","3/20/2019 5:38:00 PM","","3/20/2019 5:38:00 PM","","3148496","1704289","-104.97176390","39.76589420","2","211","cole","1","0"
> "2019313150","2019313150544100","5441","0","traffic-accident","traffic-accident","5/19/2019 3:05:00 PM","","5/19/2019 3:08:00 PM","","3146936","1690862","-104.97758770","39.72905960","6","623","capitol-hill","0","1"
> "2019314180","2019314180299900","2999","0","criminal-mischief-other","public-disorder","5/19/2019 10:00:00 PM","5/20/2019 5:00:00 AM","5/20/2019 6:22:00 AM","3100 N HURON ST","3141470","1702493","-104.996792","39.76107340","6","612","five-points","1","0"
> "2019311372","2019311372544100","5441","0","traffic-accident","traffic-accident","5/18/2019 5:02:00 PM","","5/18/2019 6:32:00 PM","1700 BLOCK TREMONT PL","3144024","1696441","-104.98782890","39.74442050","6","611","cbd","0","1"
> "2019313294","2019313294544100","5441","0","traffic-accident","traffic-accident","5/19/2019 4:46:00 PM","","5/19/2019 4:57:00 PM","","3133608","1684273","-105.02509530","39.71117230","4","412","westwood","0","1"
> "2019310459","2019310459240400","2404","0","theft-of-motor-vehicle","auto-theft","5/17/2019 8:00:00 PM","5/18/2019 6:30:00 AM","5/18/2019 7:55:00 AM","700 BLK N POPLAR ST","3167563","1691005","-104.90424970","39.72910370","2","223","montclair","1","0"
> "2019312827","2019312827570700","5707","0","criminal-trespassing","all-other-crimes","5/19/2019 11:50:00 AM","","5/19/2019 12:40:00 PM","1642 N PEARL ST","3146341","1695767","-104.97960320","39.74253410","6","621","north-capitol-hill","1","0"
> "2019310403","2019310403299900","2999","0","criminal-mischief-other","public-disorder","5/18/2019 4:45:00 AM","","5/18/2019 5:59:00 AM","1475 N OSCEOLA ST","3129835","1694689","-105.03831790","39.73981970","1","122","west-colfax","1","0"
> "2019311083","2019311083540100","5401","0","traffic-accident-hit-and-run","traffic-accident","5/18/2019 4:00:00 PM","","5/18/2019 5:16:00 PM","9999 E YALE AVE","3176682","1668867","-104.872373","39.66816180","3","323","hampden","0","1"
> "2019308844","2019308844240400","2404","0","theft-of-motor-vehicle","auto-theft","5/16/2019 6:30:00 PM","5/17/2019 1:00:00 PM","5/17/2019 1:38:00 PM","6750 E CHENANGO AVE","3166770","1653143","-104.90794630","39.62517810","3","324","southmoor-park","1","0"
